MINS_ELAPSED,pH,pH_MIN,pH_MAX,M_BUTENEDIAL,M_BUTENEDIAL_MIN,M_BUTENEDIAL_MAX,M_C4H5NO,M_C4H5NO_MIN,M_C4H5NO_MAX,M_DIMER,M_DIMER_MIN,M_DIMER_MAX,M_NH
1124,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3918521967844267,0.35926527455043283,0.4169478138591375,0.010830780174529145,0.0073613907582494795,0.01528224654895607,0.0007615083754594209,0.00027310636092353185,0.0013324991902010836,0.4088976513298812
1125,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.39176432322751786,0.35912282044347943,0.4169125738614128,0.010836336502968736,0.007364096046995758,0.015291667383503441,0.0007625717128273244,0.0002735536827704388,0.0013340737797760125,0.4088097777729724
1126,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3916771713246101,0.3589802753182971,0.41687729378516736,0.010840925407610513,0.0073667925024237906,0.015301076998939869,0.0007636350071055803,0.0002740012608532078,0.0013356473575424647,0.40872262587006464
1127,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3915908545503175,0.35883763943832075,0.4168419736173732,0.010845633815967912,0.007369480125159119,0.01531047538742516,0.000764698256145345,0.00027444909477677265,0.001337219919790734,0.40863630909577203
1128,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3915048088324529,0.35869491306720475,0.4168066133450625,0.01085023910457039,0.0073721589158566294,0.015319862541139428,0.0007657614577991648,0.0002748971841456861,0.0013387914628201713,0.40855026337790745
1129,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3914186775170037,0.35855209646882075,0.4167712129553279,0.01085413774345756,0.007374828875200577,0.015329238452283116,0.0007668246099209864,0.0002753455285641196,0.0013403619829392038,0.40846413206245824
1130,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3913318748932733,0.3584091899072551,0.4167357724353228,0.010857956194616034,0.007377490003904626,0.015338603113077085,0.0007678877103661714,0.00027579412763586335,0.0013419314764653526,0.40837732943872784
1131,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3912446650337916,0.3582661936468068,0.4167002917722608,0.010861702857438274,0.007380142302711873,0.015347956515762625,0.0007689507569915075,0.00027624298096432713,0.0013434999397252494,0.40829011957924616
1132,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.39115736886719504,0.3581231079519849,0.4166647709534164,0.01086692353982133,0.007382785772394875,0.01535729865260155,0.0007700137476552215,0.0002766920881525395,0.0013450673690546561,0.4082028234126496
1133,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3910699864631049,0.3579799330875062,0.4166292099661248,0.010872200860169802,0.007385420413755673,0.015366629515876232,0.0007710774701787033,0.00027714144880314835,0.0013466337607984788,0.40811544100855945
1134,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3909837816758723,0.35783666931829305,0.4165936087977819,0.01087530719667431,0.007388046227625833,0.015375949097889656,0.0007721499501235965,0.0002775910625184211,0.0013481991113107887,0.4080292362213268
1135,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3908983293913968,0.3576933169094708,0.4165579674358446,0.010879507441231076,0.0073906632148664575,0.015385257390965482,0.0007732224031300539,0.0002780409289002446,0.0013497634169548378,0.4079437839368513
1136,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3908127957192784,0.3575498761263657,0.4165222858678307,0.010884013865775852,0.007393271376368228,0.015394554387448082,0.0007742948270788935,0.00027849104755012536,0.0013513266741030758,0.40785825026473294
1137,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3907247983701022,0.3574063472345021,0.4164865640813191,0.01088907492036915,0.0073958707130514206,0.015403840079702618,0.0007753672198520549,0.00027894141806918967,0.0013528888791371676,0.40777025291555674
1138,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3906360897391219,0.3572627304996006,0.4164508020639497,0.01089405351375319,0.007398461225865941,0.015413114460115084,0.0007764395793326091,0.00027939204005818355,0.0013544500284480108,0.4076815442845764
1139,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3905478569594095,0.3571190261875753,0.41641499980305297,0.01089907270466297,0.007401042915791344,0.015422377521092347,0.0007775119034047684,0.0002798429131174732,0.0013560101184357516,0.40759331150486405
1140,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3904602481933618,0.3569752345645318,0.4163791572856345,0.010904039817118804,0.0074036157838368675,0.015431629255062234,0.0007785841899538952,0.0002802940368502981,0.0013575691455098029,0.4075057027388163
1141,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.39037457281425575,0.3568313558967643,0.4163432744994655,0.010908504498610102,0.007406179831041453,0.015440869654473548,0.0007796564368665133,0.00028074541093980567,0.0013591271060888605,0.4074200273597103
1142,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.39028747194038826,0.35668739045075376,0.4163073514323987,0.010913820607046435,0.007408735058473773,0.015450098711796154,0.0007807286420303161,0.0002811970350244033,0.0013606839966009187,0.4073329264858428
1143,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3901986282480294,0.3565433384931653,0.4162713880723479,0.010918777923079949,0.007411281467232259,0.015459316419521009,0.000781800803334177,0.0002816489087064121,0.0013622398134832895,0.40724408279348395
1144,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3901110185677785,0.3563992002908457,0.4162353844072879,0.010923806490027766,0.007413819058445123,0.015468522770160238,0.0007828729186681591,0.0002821010315878169,0.0013637945531826169,0.40715647311323305
1145,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.390023325531236,0.35625497611082124,0.4161993404252548,0.010928296313350102,0.007416347833270381,0.01547771775624717,0.0007839449859235251,0.00028255340327026603,0.0013653482121548945,0.4070687800766905
1146,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3899368833289043,0.35611066622029525,0.416163256114346,0.010931969290301841,0.0074188677928958904,0.0154869013703364,0.0007850170029927463,0.00028300602335507214,0.0013669007868654804,0.40698233787435883
1147,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3898508713330263,0.3559662708866457,0.4161271314627202,0.010936342965885006,0.007421378938539357,0.01549607360500385,0.0007860893117497471,0.0002834588914432119,0.001368452273789116,0.40689632587848085
1148,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3897647795327983,0.3558217903774226,0.4160909664585977,0.010941221018032087,0.007423881271448366,0.015505234452846803,0.0007871618615495314,0.00028391200713532715,0.00137000266940994,0.40681023407825284
1149,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3896786079999201,0.3556772249603461,0.4160547610902601,0.010945538818491704,0.007426374792900418,0.015514383906483981,0.0007882343566417008,0.0002843653700317244,0.001371551970221505,0.40672406254537463
1150,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3895902366767271,0.35553257490330376,0.4160185153460507,0.010949360391605585,0.007428859504202933,0.01552352195855558,0.0007893067949206442,0.0002848189797323757,0.0013731001727267948,0.40663569122218163
1151,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.38950151187727305,0.3553878404743481,0.4159822292143745,0.01095450156880064,0.007431335406693286,0.015532648601723341,0.0007903791742819787,0.0002852728358369188,0.0013746472734382394,0.4065469664227276
1152,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3894127038497612,0.3552430219416943,0.415945902683698,0.01095941650213332,0.00743380250173883,0.015541763828670584,0.0007914446919646289,0.00028572693794465763,0.0013761932688777293,0.4064581583952157
1153,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3893238126729723,0.35509811957371795,0.4159095357425498,0.010963516487305376,0.007436260790736913,0.015550867632102281,0.0007924972658473037,0.000286181285654562,0.0013777381555766348,0.4063692672184268
1154,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3892337426496746,0.3549531336389525,0.4158731283795201,0.010968174581389684,0.007438710275114903,0.015559960004745103,0.0007935497007460213,0.000286635878565269,0.0013792819300758187,0.4062791971951291
1155,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3891451151813863,0.3548080644060866,0.41583668058326106,0.010972491624030248,0.007441150956330219,0.015569040939347472,0.0007946019945059076,0.00028709071627508237,0.001380824588925653,0.4061905697268408
1156,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3890570358072751,0.3546629121439623,0.4158001923424872,0.010976446465854677,0.007443582835870336,0.015578110428679615,0.0007956541449737893,0.0002875457983819734,0.001382366128686035,0.4061024903527296
1157,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3889688747781356,0.3545176771215721,0.4157636636459746,0.01098085228277279,0.007446005915252827,0.015587168465533622,0.0007967147151686821,0.0002880011244835808,0.0013839065459264022,0.4060143293235901
1158,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3888806321699709,0.35437235960805663,0.415727094482562,0.010985198307083905,0.0074484201960253625,0.0155962150427235,0.0007977879679809835,0.0002884566941772116,0.0013854458372257474,0.4059260867154254
1159,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.38879159311032985,0.35422695987270264,0.4156904848411499,0.010990481595085514,0.007450825679765756,0.015605250153085224,0.0007988611506822812,0.0002889125070598409,0.0013869839991726342,0.4058370476557844
1160,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3887024308530249,0.3540814781849399,0.4156538347107015,0.010994023453261585,0.007453222368081966,0.01561427378947145,0.0007999342611842845,0.0002893685627281127,0.0013885210283652125,0.40574788539847945
1161,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3886131853788111,0.3539359148143394,0.4156171440802422,0.010998959724142532,0.0074556102626121236,0.015623285943882041,0.0008010072973999963,0.00028982486077833977,0.0013900569214112335,0.40565863992426565
1162,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3885238567643637,0.3537902700306105,0.4155804129388598,0.011003351999278786,0.007457989365024555,0.015632286608537996,0.0008020802572437239,0.0002902814008065044,0.0013915916749280648,0.4055693113098182
1163,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3884344450866126,0.3536445441035988,0.4155436412757047,0.0110075313879736,0.007460359677017797,0.015641275776304912,0.000803153138631088,0.00029073818240825833,0.0013931252855427048,0.40547989963206715
1164,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.388344950422742,0.3534987373032835,0.41550682907998987,0.011011534192467008,0.007462721200320627,0.015650253440069636,0.0008042259394790331,0.0002911952051789235,0.0013946577498804055,0.4053904049681965
