date,file,chrom,dc_trap,mfc,src1,src2,signal,vialstart,trapstart,eject,vial,MINS_ELAPSED,rh,SOLUTION_ID,wt_frac,nh3_bubbler,MZ84,MZ85,MZ283,note,dc_spring,ac_spring_f1,ac_spring_a1,ac_spring_f2,ac_spring_a2,dc_spring_after,ac_spring_f1_after,ac_spring_a1_after,ac_spring_f2_after,ac_spring_a2_after,data_path,code,comptype,compnum,p84_j,p85_j,p283_j,n84_j,n84,n85_j,n85,bad_data,nh3_vial,naoh_vial
180924,1,0.25,480,280,,,1,,9/24/18 9:00,9/24/18 10:15,,75,70,bd10hg10sc10_001,0.3,,19.76923077,696.6538462,17312.40741,,49,70,5,63,4.08,54,68,4.96,63,4.22,C:/MassCenter DataORG/DropletMSProject.7pj/180924.7fl\Data001.7rw,180924_001_0.2,bd10hg10sc10,1,,704.7,17289.2,,0.001141911,0.040759549,0.040240149,,,
180924,2,0.55,520,280,,,1,,9/24/18 11:24,9/24/18 11:58,,34.00000001,70,bd10hg10sc10_001,0.3,,13.90322581,1043.032258,16569.25806,,49,67,4.97,60,4.16,51,65,4.9,59,4.15,C:/MassCenter DataORG/DropletMSProject.7pj/180924.7fl\Data002.7rw,180924_002_0.6,bd10hg10sc10,1,,1058.5,16575.8,,0.000839098,0.063858155,0.062949847,,,
180925,1,0.3,473,308,,,1,,9/25/18 11:59,9/25/18 14:38,,159,70,bd10hg10sc10_001,0.3,,14.29032258,402.2903226,15834.16129,start of using +800 V DC supply for transfer,45,71,4.98,63,4.04,37,78,4.99,70,4.07,C:/MassCenter DataORG/DropletMSProject.7pj/180925.7fl\Data001.7rw,180925_001_0.3,bd10hg10sc10,1,,426.3,15849.3,,0.0009025,0.026897087,0.025406481,,,
180925,2,0.9,400,279,,,1,,9/25/18 14:52,9/25/18 16:40,,108,70,bd10hg10sc10_001,0.3,,15.85714286,311.1935484,11416.22581,,38,73,4.97,66,4.18,43,73,4.93,65,4.01,C:/MassCenter DataORG/DropletMSProject.7pj/180925.7fl\Data002.7rw,180925_002_0.9,bd10hg10sc10,1,,339.8,11425.5,,0.001389,0.029740493,0.027258882,,,
180926,1,1.7,480,285,,,1,,9/25/18 16:48,9/26/18 8:33,,945,70,bd10hg10sc10_001,0.3,,17.06451613,122.483871,12556.54839,,48,67,4.96,60,4.09,37,75,4.92,68,4.2,C:/MassCenter DataORG/DropletMSProject.7pj/180926.7fl\Data001.7rw,180926_001_1.7,bd10hg10sc10,1,,144.5,12555,,0.001359013,0.011509359,0.009754581,,,
180926,2,0.55,512,311,,,1,,9/26/18 8:40,9/26/18 12:28,,228,70,bd10hg10sc10_001,0.3,,11.22580645,325.0967742,14319.74194,,45,70,4.89,64,4.2,46,72,4.97,65,4.03,C:/MassCenter DataORG/DropletMSProject.7pj/180926.7fl\Data002.7rw,180926_002_0.6,bd10hg10sc10,1,,336.77,14337.5,,0.000783939,0.023488753,0.022702698,,,
180926,3,0.5,530,330,,,1,,9/26/18 12:39,9/26/18 18:01,,322,70,bd10hg10sc10_001,0.3,,18.03225806,272.516129,9843.354839,,49,70,5,62,4.06,46,71,4.87,64,4.03,C:/MassCenter DataORG/DropletMSProject.7pj/180926.7fl\Data003.7rw,180926_003_0.5,bd10hg10sc10,1,,280.7,9858,,0.001831922,0.028474336,0.02768529,,,
181001,1,0.4,460,210,,,1,,10/1/18 9:18,10/1/18 11:02,,104,70,bd10hg10sc10_001,0.3,,22.4516129,65.51612903,5536.645161,bad peak,31,43,4.98,,,32,42,4.96,37,4.68,C:/MassCenter DataORG/DropletMSProject.7pj/181001.7fl\Data001.7rw,181001_001_0.4,bd10hg10sc10,1,,165,5544.9,,0.004055093,0.029757074,0.011833182,,,
181001,2,0.25,550,210,,,1,,10/1/18 11:31,10/1/18 11:35,,4.000000003,70,bd10hg10sc10_001,0.3,,14.87096774,179.4444444,7611.923077,bad peak,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/181001.7fl\Data002.7rw,181001_002_0.2,bd10hg10sc10,1,,229.3,7630.1,,0.001953641,0.030052031,0.023574127,,,
181001,2,7.2,520,215,,,1,,10/1/18 11:39,10/1/18 11:42,,2.999999999,70,bd10hg10sc10_001,0.3,,15.06451613,105.3225806,2837.387097,bad peak,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/181001.7fl\Data002.7rw,181001_002_7.2,bd10hg10sc10,1,,122,2845.9,,0.005309292,0.042868688,0.037119567,,,
