SECONDS,COUNTS_MZ150,COUNTS_MZ149,COUNTS_MZ168,COUNTS_MZ85,COUNTS_MZ84,COUNTS_MZ283
3.814125,76,260,52,190,1395,484
3.819458,85,211,73,179,1497,566
3.824792,71,202,50,196,1546,633
3.830125,81,228,68,174,1469,555
3.835458,88,239,72,182,1184,380
3.840792,86,238,64,167,1154,256
3.846083,65,242,66,143,1128,283
3.851417,86,235,63,184,1278,445
3.85675,88,193,65,170,1502,546
3.862083,79,195,71,187,1451,510
3.867417,78,246,63,182,1287,420
3.87275,75,240,73,161,1201,345
3.878083,71,202,76,180,1371,460
3.883417,82,227,66,146,1461,462
3.888708,80,206,81,207,1447,480
3.894042,67,240,71,182,1448,472
3.899375,70,246,59,181,1154,360
3.904708,76,212,72,141,1271,346
3.910042,67,239,80,174,1365,468
3.915375,78,195,62,174,1414,510
3.920708,67,199,68,181,1428,488
3.926,85,174,65,158,1429,506
3.931333,68,203,59,176,1405,440
3.936667,76,200,57,185,1346,466
3.942,70,200,60,182,1510,503
3.947333,66,234,66,187,1396,496
3.952667,76,230,56,172,1389,372
3.958,60,253,57,175,1242,315
3.963292,64,251,69,158,1243,310
3.968625,65,230,58,183,1247,311
3.973958,64,220,78,180,1304,369
3.979292,80,232,63,178,1244,357
3.984625,75,248,61,172,1240,337
3.989958,84,249,77,166,1273,324
3.995292,71,190,70,191,1466,435
4.000625,69,211,58,175,1393,479
4.005917,63,212,61,189,1393,430
4.01125,69,200,55,168,1410,397
4.016583,67,253,60,182,1224,321
4.021917,86,258,72,165,1130,257
4.02725,74,239,63,170,1239,292
4.032583,70,235,72,163,1240,302
4.037917,81,225,74,181,1280,336
4.04325,76,250,69,167,1220,279
4.048542,73,259,65,191,1226,268
4.053875,78,265,53,160,1132,237
4.059208,65,249,61,168,1145,274
4.064542,68,209,48,176,1265,298
4.069875,79,224,59,194,1339,354
4.075208,65,221,52,179,1263,311
4.080542,73,248,61,156,1137,280
4.085833,80,210,62,171,1203,338
4.091167,66,231,64,184,1397,382
4.0965,77,177,67,170,1339,424
4.101833,60,205,61,159,1371,378
4.107167,73,200,69,148,1401,399
4.1125,72,190,66,188,1409,409
4.117833,66,200,70,159,1544,396
4.123125,63,171,61,185,1486,381
4.128458,90,242,62,172,1346,307
4.133792,69,252,58,166,1158,223
4.139125,67,247,61,178,1268,262
4.144458,69,231,62,178,1230,297
4.149792,63,224,40,175,1336,349
4.155125,76,235,71,177,1338,330
4.160458,64,212,60,190,1208,279
4.16575,83,241,75,162,1184,274
